uid,gid,player,pa,pc,py,ints,tdp,ra,sra,ry,tdr,trg,rec,recy,tdrec,ret,rety,tdret,fuml,peny,conv,snp,fp,fp2,fp3,game,seas,year,team,posd,jnum,dcp
88733,4264,AC-2350,0,0,0,0,0,0,0,0,0,11,6,137,0,0,0,0,0,0,1,72,15.7,18.7,24.7,1,2,2016,OAK,RWR,89,1
88734,4264,MM-5750,0,0,0,0,0,0,0,0,0,0,0,0,0,7,103,0,0,0,0,0,0,0,0,1,2,2016,NO,RB,23,5
88735,4264,MI-0100,0,0,0,0,0,12,7,58,0,2,2,29,0,0,0,0,0,0,0,29,8.7,9.7,10.7,1,6,2016,NO,RB,22,1
88736,4264,JK-2200,0,0,0,0,0,2,1,4,0,1,0,0,0,0,0,0,0,0,0,20,0.4,0.4,0.4,1,12,2016,NO,FB,29,1
88737,4264,WS-0925,0,0,0,0,0,0,0,0,0,9,9,172,1,0,0,0,0,0,0,52,23.2,27.7,35.2,1,3,2016,NO,RWR,83,2
88738,4264,TC-0050,0,0,0,0,0,1,0,1,0,7,3,14,1,0,0,0,0,0,0,26,7.5,9,10.5,1,5,2016,NO,RB,38,5
88739,4264,LS-1550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,41,0,0,0,1,6,2016,OAK,TE,86,1
88740,4264,JR-2075,0,0,0,0,0,3,2,84,1,2,2,11,0,1,26,0,0,0,0,12,15.5,16.5,17.5,1,1,2016,OAK,RB,46,4
88741,4264,DW-1350,0,0,0,0,0,5,2,14,0,1,1,10,0,0,0,0,0,0,0,8,2.4,2.9,3.4,1,1,2016,OAK,RB,33,3
88742,4264,TH-1600,0,0,0,0,0,4,2,9,0,1,1,1,0,0,0,0,0,0,0,12,1,1.5,2,1,9,2016,NO,RB,34,2
88743,4264,MT-0875,0,0,0,0,0,0,0,0,0,6,6,58,0,0,0,0,0,0,0,54,5.8,8.8,11.8,1,1,2016,NO,LWR,13,2
88744,4264,CW-0225,0,0,0,0,0,0,0,0,0,5,3,25,0,0,0,0,0,10,0,37,2.5,4,5.5,1,2,2016,OAK,TE,88,2
88745,4264,SR-0750,0,0,0,0,0,0,0,0,0,4,2,19,1,0,0,0,0,0,0,60,7.9,8.9,9.9,1,3,2016,OAK,LWR,10,2
88746,4264,JO-0550,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,12,6.2,6.2,6.2,1,5,2016,OAK,FB,49,1
88747,4264,AH-3600,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,1,6,2016,OAK,RWR,18,2
88748,4265,AS-1600,48,34,363,1,2,4,3,15,1,0,0,0,0,0,0,0,0,0,0,71,28.02,29.02,31.02,1,12,2016,KC,QB,11,1
88749,4265,JM-0200,0,0,0,0,0,1,0,-1,0,7,5,63,1,0,0,0,0,0,0,65,12.2,14.7,17.2,1,8,2016,KC,LWR,19,1
88750,4265,SW-0350,0,0,0,0,0,11,7,70,1,8,7,129,0,0,0,0,0,0,0,34,25.9,29.4,35.9,1,4,2016,KC,FB,32,2
88751,4265,PR-0300,36,25,243,0,1,2,1,9,0,0,0,0,0,0,0,0,0,0,0,73,14.62,14.62,14.62,1,13,2016,SD,QB,17,1
88752,4265,KA-0650,0,0,0,0,0,0,0,0,0,7,6,63,0,0,0,0,0,0,0,27,6.3,9.3,12.3,1,4,2016,SD,RWR,13,1
88753,4265,MG-1150,0,0,0,0,0,14,8,57,2,0,0,0,0,0,0,0,0,0,0,22,17.7,17.7,17.7,1,2,2016,SD,RB,28,1
